pedido;cliente;articulo;descripcion;cantidad;ubicacion;carga
8425;11052;F60005563;PATA HEXA H740 AZUL ATLANTICO;40;P26 X13;28/05/2025
8425;11052;F80000395;VIGA HEXA 1400 AZUL ATLANTICO;28;P35 X1;28/05/2025
8425;11052;F60005563;PATA HEXA H740 ROJO TINTO;20;P26 X13;28/05/2025
8425;11052;F80000395;VIGA HEXA 1400 ROJO TINTO;18;P35 X1;28/05/2025
8425;11052;F60005563;PATA HEXA H740 AMARILLO ALBERO;20;P26 X13;28/05/2025
8425;11052;F80000395;VIGA HEXA 1400 AMARILLO ALBERO;18;P35 X1;28/05/2025
8425;11052;F60005565;PATA HEXA H820 AZUL ATLANTICO;16;P26 X15;28/05/2025
8425;11052;F60005565;PATA HEXA H820 ROJO TINTO;16;P26 X15;28/05/2025
8425;11052;F60005565;PATA HEXA H820 AMARILLO ALBERO;16;P26 X15;28/05/2025
9099;6829;F11000665;ESTRUCTURA SILLON BOW BLANCO POLAR;5;P122 X9;19/06/2025
9099;6829;F11000665;ESTRUCTURA SILLON BOW GRIS PLATA;8;P122 X9;19/06/2025
9099;6829;F18002652;BASE PIRAMIDAL 4 RADIOS S235 BLANCO POLAR;5;P152 X22;19/06/2025
9099;6829;F18002652;BASE PIRAMIDAL 4 RADIOS S235 GRIS PLATA;8;P152 X22;19/06/2025
9099;6829;F11000749;ESTRUCTURA SILLA GLOVE TERRACOTA;22;P122 X3;19/06/2025
9099;6829;F18002647;BASE PLANA 5 RADIOS ALUM. TERRACOTA;22;P153 X8;19/06/2025
9001;8798;F60001284;PÓRTICO INTERMEDIO 600 NEGRO MATE;20;P33 X4;30/05/2025
9001;8798;F80000312;VIGA M10 1800 NEGRO MATE;20;P35 X33;30/05/2025
9001;8798;F60001283;PÓRTICO ALTO 600 GRIS ALCAZAR;32;P33 X9;30/05/2025
9001;8798;F80000312;VIGA M10 1800 GRIS ALCAZAR;32;P35 X33;30/05/2025
8753;2795;F18002647;BASE PLANA 5 RADIOS ALUM. AZUL ATLANTICO;10;P153 X8;18/06/2025
8753;2795;F18002647;BASE PLANA 5 RADIOS ALUM. TERRACOTA;10;P153 X8;18/06/2025
8753;2795;F18002647;BASE PLANA 5 RADIOS ALUM. VERDE OLIVA;12;P153 X8;18/06/2025
8753;2795;F18002647;BASE PLANA 5 RADIOS ALUM. ROJO TINTO;12;P153 X8;18/06/2025
8753;2795;F18002652;BASE PIRAMIDAL 4 RADIOS S235 GRIS OSCURO;50;P152 X22;18/06/2025
7998;1950;F30000115;ARMAZON ARMARIO MET. PLUS BLANCO POLAR;15;P77 X20;19/06/2025
7998;1950;F30002041;ESTANTE MET. ARM. PLUS BLANCO POLAR;45;P76 X7;19/06/2025
9105;17776;F60001285;PÓRTICO BAJO 600 GRIS OSCURO;8;P33 X11;21/05/2025
9105;17776;F60005563;PATA HEXA H740 GRIS OSCURO;12;P26 X13;21/05/2025
9105;17776;F80000395;VIGA HEXA 1400 GRIS OSCURO;6;P35 X1;21/05/2025
9105;17776;F80000312;VIGA M10 1800 GRIS OSCURO;4;P35 X33;21/05/2025
9105;17776;F80000327;VIGA F25 1600 GRIS OSCURO;4;P34 X28;21/05/2025
9105;17776;F18002647;BASE PLANA 5 RADIOS ALUM. GRIS OSCURO;20;P153 X8;21/05/2025
8216;6829;F60005565;PATA HEXA H820 TERRACOTA;4;P26 X15;12/05/2025
8216;6829;F80000395;VIGA HEXA 1400 TERRACOTA;2;P35 X1;12/05/2025
8216;6829;F30003503;ESTRUCTURA BUC MET. 560 NEGRO MATE;2;P76 X5;12/05/2025
8216;6829;F30003770;CAJON BUC MET. TERRACOTA;6;P76 X4;12/05/2025
8204;16975;F60005565;PATA HEXA H820 TERRACOTA;8;P26 X15;03/06/2025
8204;16975;F80000395;VIGA HEXA 1400 TERRACOTA;4;P35 X1;03/06/2025
8204;16975;F60005565;PATA HEXA H820 GRIS OSCURO;8;P26 X15;03/06/2025
8204;16975;F80000395;VIGA HEXA 1400 GRIS OSCURO;4;P35 X1;03/06/2025
8800;6044;F30003503;ESTRUCTURA BUC MET. 560 VERDE OLIVA;1;P76 X5;11/06/2025
8800;6044;F30003770;CAJON BUC MET. VERDE OLIVA;1;P76 X4;11/06/2025
8800;6044;F30003778;ARCHIVADOR BUC MET. VERDE OLIVA;1;P76 X3;11/06/2025
